Book-Title,ISBN,Book-Author,Year-Of-Publication,Avg-rating,description,page,Publisher,Image-URL-S,Image-URL-M,Image-URL-L
1984,451524934,George Orwell,1990,4.19,"Among the seminal texts of the 20th century, Nineteen Eighty-Four is a rare work that grows more haunting as its futuristic purgatory becomes more real. Published in 1949, the book offers political satirist George Orwell's nightmarish vision of a totalitarian, bureaucratic world and one poor stiff's attempt to find individuality. The brilliance of the novel is Orwell's prescience of modern life‚Äîthe ubiquity of television, the distortion of the language‚Äîand his ability to construct such a thorough version of hell. Required reading for students since it was published, it ranks among the most terrifying novels ever written.",237,Signet Book,http://images.amazon.com/images/P/0451524934.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451524934.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451524934.01.LZZZZZZZ.jpg
1st to Die: A Novel,446610038,James Patterson,2002,4.08,"James Patterson, bestselling author of the Alex Cross novels Along Came a Spider, Kiss the Girls, and Pop Goes the Weasel, offers the first of a new series dubbed The Women's Murder Club, featuring a four-woman team that occasionally works outside the system. None of the gritty darkness or frenzied action is lost in 1st to Die, although the female protagonists offer an even deeper emotional context to this suspense thriller.Inspector Lindsay Boxer of the San Francisco Police Department suddenly finds herself in the middle of two horrifying situations: The first is that she's just learned she has an often-fatal blood disease. The second is a double homicide case she is now heading up that involves the murder of newlyweds on their wedding night. Burdened with Chris Raleigh, a new partner reassigned from the mayor's office, Lindsay finds that she has too much to deal with and turns to her best friend, Claire, the head ME on the case. Claire offers helpful advice and human, friendly contact amid a job filled with violence, cruelty, and fear.Soon a fledgling newspaper reporter, Cindy, makes contact with Lindsay looking for a career-making story. Although Lindsay can't officially comment on the case, the two women form a rapport, and Cindy joins Lindsay and Claire for their weekly meeting. When a second pair of newlyweds is murdered, and later a third, the investigation leads to a prominent crime writer, Nicholas Jenks, who has a history of spousal abuse and a predilection for kinky, dangerous sex games. With the help of an understanding assistant D.A., Jill Bernhardt, Lindsay tries to make a case against Jenks, who even had an affair with one of the slain women. Eventually Jill joins the Murder Club, and the four ladies share private interdepartmental information in an effort to track and stop the killer before he strikes again.The major subplot -- Lindsay's facing up to her illness even while she learns to fall in love again -- carefully compensates for the novel's coarse scenes of brutality. Lindsay Boxer is't merely an obsessed cop trailing a maniac; she's also a terrified woman confronting the onslaught of disease. The story lines balance out to show us the true mettle of someone who puts the safety of others before her own.Again, Patterson's skill for producing furiously paced fiction are evident as the novel breezes by rapidly. The short chapters keep the narrative leaping with increasingly taut plot elements, but there's an emotional commitment that makes our protagonist even more amiable and involving. 1st to Die is a novel that works as an intense series of character portraits that will leave the reader touched and delighted.--Tom Piccirilli",424,Warner Vision,http://images.amazon.com/images/P/0446610038.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446610038.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446610038.01.LZZZZZZZ.jpg
2nd Chance,316693200,James Patterson,2002,4.04,"The Women's Murder Club returns for another thrilling crime investigation. Will their skills be enough to take down a brutal madman?A brutal madman sprays bullets into a crowd of children leaving a San Francisco church. Miraculously-or was it intentionally?-only one person dies. Then an elderly black woman is hung. Police homicide inspector Lindsay Boxer senses a connection and together with medical examiner Claire, assistant D. A. Jill, and Chronicle reporter Cindy, finds a link that sends a chill through the entire nation. This killer's motives are unspeakable.In this ""inventive"" installment of the Women's Murder Club, James Patterson proves once again why he is the #1 master of the murder mystery (Sunday Times).",400,"Little, Brown",http://images.amazon.com/images/P/0316693200.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316693200.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316693200.01.LZZZZZZZ.jpg
4 Blondes,451203895,Candace Bushnell,2002,2.85,"Now in paperback comes the sexy, funny, and page-turning bestseller from the author of ""Sex and the City. 4 Blondes"" brings together the stories of four modern women to render a vivid portrait of New York at the millennium.",256,Signet Book,http://images.amazon.com/images/P/0451203895.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451203895.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451203895.01.LZZZZZZZ.jpg
A Bend in the Road,446527785,Nicholas Sparks,2001,4.03,"Miles Ryan's life seemed to end the day his wife was killed in a hit-and-run accident two years ago. Missy had been his first love, and Miles fervently believes she will be his last. As a deputy in the North Carolina town of New Bern, Miles Ryan not only grieves for Missy, but also longs to bring the unknown driver to justice. Then Miles meets Sarah Andrews. The second grade teacher of his son, Jonah, Sarah had left Baltimore after a difficult divorce to start over in the gentler surroundings of New Bern. Perhaps it's her own emotional wounds that make her sensitive to the hurt she first sees in Jonah's eyes, and then his father's. Tentatively, Sarah and Miles reach out to each other. Soon they are both laughing for the first time in years . . . and falling in love. Neither will be able to guess how closely linked they are to a shocking secret -- one that will force them to question everything they ever believed in . . . and make a heartbreaking choice that will change their lives forever.",341,Warner Books,http://images.amazon.com/images/P/0446527785.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446527785.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446527785.01.LZZZZZZZ.jpg
A Case of Need,451183665,Michael Crichton,1994,3.72,"Written as Jeffery Hudson in 1968.A Case of Need is Michael Crichton's award-winning debut novel, written shortly after he completed his medical internship. Set against the ever-building pressure and pace of a large Boston medical center, the tensions flare-and explode-when a surgical operation tragically ends in death, raising countless questions. Was it accidental malpractice? A violation of the Hippocratic oath? Or cold-blooded murder?",416,Signet Book,http://images.amazon.com/images/P/0451183665.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451183665.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451183665.01.LZZZZZZZ.jpg
"A Child Called \It\"": One Child's Courage to Survive""",1558743669,Dave Pelzer,1995,4.11,Also see: Alternate Cover Editions for this ISBN [ACE]  ,184,Health Communications,http://images.amazon.com/images/P/1558743669.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1558743669.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1558743669.01.LZZZZZZZ.jpg
A Civil Action,679772677,JONATHAN HARR,1996,3.98,"A Civil Action is a non-fiction book by Jonathan Harr about a water contamination case in Woburn, Massachusetts, in the 1980s.After finding that her child is diagnosed with leukemia, Anne Anderson notices a high prevalence of leukemia, a relatively rare disease, in her city. Eventually she gathers other families and seeks a lawyer, Jan Schlichtmann, to consider their options. Schlichtmann originally decides not to take the case due to both the lack of evidence and a clear defendant. Later picking up the case, Schlichtmann finds evidence suggesting trichloroethylene (TCE) contamination of the town's water supply by Riley Tannery, a subsidiary of Beatrice Foods; a chemical company, W. R. Grace; and another company named Unifirst. In the course of the lawsuit Schlichtmann gets other attorneys to assist him. He spends lavishly as he had in his prior lawsuits, but the length of the discovery process and trial stretch all of their assets to their limit.",502,Vintage,http://images.amazon.com/images/P/0679772677.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679772677.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679772677.01.LZZZZZZZ.jpg
A Day Late and a Dollar Short,451204948,Terry McMillan,2002,4.1,"ìWithout question, this is McMillanís best. A glorious novel....A moving tapestry of familial love and redemption.îó The Washington Post. With her hallmark exuberance and a cast of characters so sassy, resilient, and full of life that they breathe, dream, and shout right off the page, Terry McMillan has given us a tour-de-force novel of family, healing, and redemption. A Day Late and a Dollar Short takes us deep into the hearts, minds, and souls of Americaóand gives us six more friends we never want to leave.",496,Signet Book,http://images.amazon.com/images/P/0451204948.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451204948.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451204948.01.LZZZZZZZ.jpg
A Fine Balance,140003065X,Rohinton Mistry,2001,4.35,"With a compassionate realism and narrative sweep that recall the work of Charles Dickens, this magnificent novel captures all the cruelty and corruption, dignity and heroism, of India. The time is 1975. The place is an unnamed city by the sea. The government has just declared a State of Emergency, in whose upheavals four strangers--a spirited widow, a young student uprooted from his idyllic hill station, and two tailors who have fled the caste violence of their native village--will be thrust together, forced to share one cramped apartment and an uncertain future. As the characters move from distrust to friendship and from friendship to love, A Fine Balance creates an enduring panorama of the human spirit in an inhuman state.",603,Vintage Books USA,http://images.amazon.com/images/P/140003065X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/140003065X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/140003065X.01.LZZZZZZZ.jpg
